Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1026634,RB11,ESAR336HV-BLK01100,ESTAR R336HV,CL8016,F01,PP01,"3,300.000",KG,02-01-19,04-01-19,0001
1026635,RB11,ENF784000-DR000200,ALMATEX 784,CA9001,F01,PP01,"8,290.750",KG,03-01-19,05-01-19,0003
1026636,RB11,ENFL90900-DR000200,ALMATEX L9090,CA9001,F01,PP01,"7,083.200",KG,03-01-19,05-01-19,0001
1026637,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9001,F01,PP01,"8,573.000",KG,03-01-19,05-01-19,0001
1026638,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9002,F01,PP01,"8,573.000",KG,03-01-19,05-01-19,0001
1026639,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CA9001,F01,PP01,"4,000.000",KG,03-01-19,04-01-19,0001
1026640,RB11,ENF784000-DR000200,ALMATEX 784,CA9002,F01,PP01,"8,290.750",KG,04-01-19,06-01-19,0003
1026642,RB11,ENFR50790-DR000200,ALMATEX R5-079,CA9001,F01,PP01,"6,988.800",KG,04-01-19,06-01-19,0002
1026643,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9003,F01,PP01,"8,573.000",KG,04-01-19,06-01-19,0001
1026644,RB11,ENR220000-DR000200,U-VAN 220,CA9001,F01,PP01,244.040,KG,04-01-19,06-01-19,0001
1026645,RB11,ENJQC4120-DR000200,OLESTER QC412,CA9001,F01,PP01,"7,035.900",KG,05-01-19,07-01-19,0001
1026646,RB11,ENFR50790-DR000200,ALMATEX R5-079,CA9002,F01,PP01,"6,988.800",KG,05-01-19,07-01-19,0002
1026647,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9004,F01,PP01,"8,573.000",KG,05-01-19,07-01-19,0001
1026648,RB11,ENJQR331T-DR000200,OLESTER QR331T,CA9001,F01,PP01,"6,492.000",KG,06-01-19,08-01-19,0001
1026649,RB11,ENFR50790-DR000200,ALMATEX R5-079,CA9003,F01,PP01,"3,106.900",KG,06-01-19,08-01-19,0001
1026650,RB11,ENR202000-DR000200,U-VAN 2020,CA9001,F01,PP01,"4,630.000",KG,06-01-19,08-01-19,0001
1026651,RB11,RKOSN500B-CN000250,SN-500B,790101,F01,PP01,"1,399.720",KG,07-01-19,09-01-19,0001
1026652,RB11,RKOSN500B-CN000250,SN-500B,790102,F01,PP01,"1,399.720",KG,07-01-19,09-01-19,0001
1026653,RB11,RKOSN500B-CN000250,SN-500B,790103,F01,PP01,"1,399.720",KG,08-01-19,10-01-19,0001
