Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1027124,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9019,F01,PP01,"4,390.000",KG,01-02-19,03-02-19,0002
1027125,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9020,F01,PP01,"8,573.000",KG,01-02-19,03-02-19,0001
1027126,RB11,ENR20N600-DR000200,U-VAN 20N60,CA9021,F01,PP01,"8,573.000",KG,01-02-19,03-02-19,0001
1027127,RB11,ENR128000-DR000200,U-VAN 128,CA9003,F01,PP01,"3,758.000",KG,01-02-19,03-02-19,0002
1027128,RB11,ENRM67T00-DR000200,U-VAN M67T,CA9001,F01,PP01,"3,223.000",KG,01-02-19,03-02-19,0001
1027146,RB11,ENK868000-DR000180,EPOKEY 868,CA9004,F01,PP01,"10,200.000",KG,01-02-19,03-02-19,0001
1027151,RB11,RKVV22100-DR000100,VINYLAX-221,CB9003,F02,PP01,"8,661.220",KG,01-02-19,03-02-19,0001
1027152,RB11,RKA506000-DR000200,ACRYLAX-506,CB9009,F02,PP01,"9,452.560",KG,01-02-19,03-02-19,0001
1027153,RB11,ENABM100B-BLK02500,BARIASTAR BM-1000B,CB9002,F02,PP01,"10,060.370",KG,01-02-19,03-02-19,0002
1027155,RB11,RKAGD282N-DR001000,ACRYLAX AGD-282N,CB9001,F02,PP01,"1,700.000",KG,01-02-19,03-02-19,0001
1027156,RB11,RKV282B00-BLK01000,VINYLAX-282B,CB9002,F02,PP01,"5,000.000",KG,01-02-19,03-02-19,0001
1027157,RB11,RKA506000-DR000200,ACRYLAX-506,CB9010,F02,PP01,"9,452.560",KG,01-02-19,03-02-19,0001
1027158,RB11,RKA750200-DR000200,ACRYLAX-7502,CB9002,F02,PP01,"4,470.700",KG,01-02-19,03-02-19,0001
1027161,RB11,RKV6131N2-BLK01000,VINYLAX-6131N2,CB9003,F02,PP01,"4,200.000",KG,01-02-19,03-02-19,0001
1027162,RB11,RKA506000-DR000200,ACRYLAX-506,CB9011,F02,PP01,"9,452.560",KG,01-02-19,03-02-19,0001
1027163,RB11,RKAL0604T-BLK01000,ALMATEX-A-0604T,CB9001,F02,PP01,"4,000.000",KG,01-02-19,03-02-19,0001
1027164,RB11,RKA1311H1-DR000200,ACRYLAX-1311H-10,CB9001,F02,PP01,"5,117.800",KG,01-02-19,03-02-19,0001
1027165,RB11,RKO20PGLO-DR000100,20%POLYVINYL ALCOHOL GL-05,CB9001,F02,PP01,150.000,KG,01-02-19,03-02-19,0001
1027166,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CB9014,F02,PP01,"4,099.350",KG,01-02-19,03-02-19,0001
1027167,RB11,RKO10P224-BLK01200,10%POLY VINYL ALCOHOL 224E,CB9002,F02,PP01,"8,136.300",KG,01-02-19,03-02-19,0001
1027183,RB11,ENJAO5490-DR000200,OLESTER AO-549,CA9004,F01,PP01,"7,117.500",KG,01-02-19,03-02-19,0001
1027184,RB11,ENJAO5490-DR000200,OLESTER AO-549,CA9005,F01,PP01,"7,117.500",KG,01-02-19,03-02-19,0001
1027185,RB11,ENJQM5240-DR000200,OLESTER QM524,CB9001,F01,PP01,"7,372.400",KG,01-02-19,03-02-19,0001
1027186,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9022,F01,PP01,"4,390.000",KG,01-02-19,03-02-19,0002
1027193,RB11,ENFKH113T-DR000200,ALMATEX KH113(T),CB9001,F01,PP01,"3,418.800",KG,01-02-19,03-02-19,0001
1027194,RB11,ENR20N600-DR000200,U-VAN 20N60,CB9024,F01,PP01,"8,573.000",KG,01-02-19,03-02-19,0001
1027195,RB11,RKUUVAMBP-DR000200,U-VAN MBP,CB9002,F01,PP01,225.000,KG,01-02-19,03-02-19,0001
1027196,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CB9015,F01,PP01,"4,000.000",KG,01-02-19,02-02-19,0001
1027242,RB11,ENJQC4120-DR000200,OLESTER QC412,XB9001,F01,PP01,236.000,KG,01-02-19,03-02-19,0001
1027248,RB11,RKV6131N3-BX000020,VINYLAX-6131N3,CA9001,F02,PP01,"5,000.000",KG,01-02-19,01-02-19,0001
1027256,RB11,UGP125KTH-DR000200,Actcol TUF-125K(TH),CB9002,F03,PP01,"5,209.440",KG,01-02-19,03-02-19,0004
1027257,RB11,UGPHL4560-DR000200,THAMOL HL-456,CB9003,F03,PP01,"5,176.000",KG,01-02-19,03-02-19,0002
1027258,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CB9010,F03,PP01,"5,625.000",KG,01-02-19,03-02-19,0003
1027259,RB11,UGMTM1722-DR000230,THAMATE-1722,CB9005,F03,PP01,"5,000.000",KG,01-02-19,03-02-19,0005
1027260,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CB9003,F03,PP01,"9,968.700",KG,01-02-19,03-02-19,0006
1027261,RB11,UGPMP2164-DR000200,MP-2164(D),CB9008,F03,PP01,"1,788.000",KG,01-02-19,03-02-19,0002
1027262,RB11,UGMPM3500-DR000250,COSMONATE PM-35,CB9002,F03,PP01,"1,600.000",KG,01-02-19,03-02-19,0001
1027274,RB11,UGPGR84TR-DR000210,ACTCOL GR-84T,CB9002,F03,PP01,"2,100.000",KG,01-02-19,03-02-19,0001
