Material,Material Description,Lead Time
ENABM1000-BLK20000,BARIASTAR BM-1000,18
ENABM100B-BLK02500,BARIASTAR BM-1000B,18
ENAOM1050-BLK20000,BARIASTAR OM-1050,18
ENAOM105B-BLK02500,BARIASTAR OM-1050B,18
ENCH10600-DR000200,HOPELON-106,18
ENCH3150B-BLK01000,HOPELON-3150B,18
ENF15CT00-DR000200,ALMATEX 15CT,18
ENF5446TT-DR000200,ALMATEX L5446TT,18
ENF555ET0-DR000200,ALMATEX 555ET,18
ENF719T00-DR000200,ALMATEX 719KT,18
ENF750T00-DR000200,ALMATEX 750T,18
ENF784000-DR000200,ALMATEX 784,18
ENF785500-DR000200,"ALMATEX 785-5,ALMATEX 7855",18
ENF787000-DR000200,ALMATEX 787,18
ENF788G00-DR000200,ALMATEX 788G,18
ENF792FT0-DR000200,ALMATEX 792FT,18
ENFB303T0-DR000200,ALMATEX B303T,18
ENFB310T0-DR000200,ALMATEX B310T,18
ENFB34100-DR000200,ALMATEX B341,18
ENFC11700-DR000200,ALMATEX C117,18
ENFC118T0-DR000200,ALMATEX C118T,18
ENFC20100-DR000200,ALMATEX C201,18
ENFC20200-DR000200,ALMATEX C202,18
ENFC20700-DR000200,ALMATEX C207,18
ENFC21300-DR000200,ALMATEX C213,18
ENFC40800-DR000200,ALMATEX C408,18
ENFCP9950-DR000200,ALMATEX CP99-5,18
ENFCP9990-DR000200,ALMATEX CP999,18
ENFKH113T-DR000200,ALMATEX KH113(T),18
ENFKH210T-DR000200,ALMATEX KH210(T),18
ENFKT1000-DR000200,ALMATEX KT-1,18
ENFL10010-BLK09000,ALMATEX L1001,18
ENFL10010-DR000180,ALMATEX L1001,18
ENFL10010-DR000200,ALMATEX L1001,18
ENFL10020-DR000190,ALMATEX L1002,18
ENFL10020-DR000200,ALMATEX L1002,18
ENFL1044S-DR000200,ALMATEX L1044S,18
ENFL1093T-DR000200,ALMATEX L1093T,18
ENFL20010-DR000200,ALMATEX L2001,18
ENFL20580-DR000200,ALMATEX L2058,18
ENFL2093T-DR000200,ALMATEX L2093T,18
ENFL5446T-DR000200,ALMATEX L5446T,18
ENFL7003T-DR000200,ALMATEX L7003T,18
ENFL8180C-DR000200,ALMATEX L8180CT,18
ENFL90900-DR000200,ALMATEX L9090,18
ENFL9092B-DR000200,ALMATEX L9092BT,18
ENFNT1431-DR000200,NT4-31E,18
ENFNT15U3-DR000200,ALMATEX NT15U-31,18
ENFP64600-DR000200,ALMATEX P646,18
ENFP662BT-DR000200,ALMATEX P662BT,18
ENFPD6000-KY000200,ALMATEX PD6600,18
ENFR50790-DR000200,ALMATEX R5-079,18
ENFR5089H-DR000200,ALMATEX R5-089H,18
ENFR5099T-DR000200,ALMATEX R5-099T,18
ENFTL2160-DR000200,ALMATEX TL-216,18
ENFXA5650-DR000200,ALMATEX XA565,18
ENG1140SD-BLK01000,ALMATEX-SE1140SD,18
ENG1140SD-DR000200,ALMATEX-SE1140SD,18
ENG5087SE-DR000200,ALMATEX-A-5087SE,18
ENGA264FT-DR000200,ALMATEX E264FT,18
ENGAL2500-BLK01000,ALMATEX-A-250,18
ENGAL2500-DR000200,ALMATEX-A-250,18
ENGAL2600-BLK01000,ALMATEX-A-260,18
ENGAL2600-DR000200,ALMATEX-A-260,18
ENGAL2870-DR000200,ALMATEX-A-287,18
ENGAL2890-BLK01000,ALMATEX-A-289,18
ENGAL2890-DR000200,ALMATEX-A-289,18
ENGAL289E-DR000200,ALMATEX-A-289(EX),18
ENGAL2910-BLK01000,ALMATEX-A-291,18
ENGAL2910-DR000200,ALMATEX-A-291,18
ENGAL2920-DR000200,ALMATEX-A-292,18
ENGAL583W-BLK01000,ALMATEX-A-583W,18
ENGAL583W-DR000200,ALMATEX-A-583W,18
ENGAL9009-BLK01000,ALMATEX-A-9009,18
ENGAL9009-DR000100,ALMATEX-A-9009,18
